city,lat,lng,hour_of_day,congestion
台北市,25.01,121.45,0,0.2
台北市,25.01,121.45,1,0.2
台北市,25.01,121.45,2,0.2
台北市,25.01,121.45,3,0.2
台北市,25.01,121.45,4,0.2
台北市,25.01,121.45,5,0.2
台北市,25.01,121.45,6,0.45
台北市,25.01,121.45,7,0.85
台北市,25.01,121.45,8,0.85
台北市,25.01,121.45,9,0.85
台北市,25.01,121.45,10,0.45
台北市,25.01,121.45,11,0.45
台北市,25.01,121.45,12,0.6
台北市,25.01,121.45,13,0.6
台北市,25.01,121.45,14,0.45
台北市,25.01,121.45,15,0.45
台北市,25.01,121.45,16,0.45
台北市,25.01,121.45,17,0.85
台北市,25.01,121.45,18,0.85
台北市,25.01,121.45,19,0.45
台北市,25.01,121.45,20,0.45
台北市,25.01,121.45,21,0.45
台北市,25.01,121.45,22,0.45
台北市,25.01,121.45,23,0.45
台北市,25.01,121.5,0,0.2
台北市,25.01,121.5,1,0.2
台北市,25.01,121.5,2,0.2
台北市,25.01,121.5,3,0.2
台北市,25.01,121.5,4,0.2
台北市,25.01,121.5,5,0.2
台北市,25.01,121.5,6,0.45
台北市,25.01,121.5,7,0.85
台北市,25.01,121.5,8,0.85
台北市,25.01,121.5,9,0.85
台北市,25.01,121.5,10,0.45
台北市,25.01,121.5,11,0.45
台北市,25.01,121.5,12,0.6
台北市,25.01,121.5,13,0.6
台北市,25.01,121.5,14,0.45
台北市,25.01,121.5,15,0.45
台北市,25.01,121.5,16,0.45
台北市,25.01,121.5,17,0.85
台北市,25.01,121.5,18,0.85
台北市,25.01,121.5,19,0.45
台北市,25.01,121.5,20,0.45
台北市,25.01,121.5,21,0.45
台北市,25.01,121.5,22,0.45
台北市,25.01,121.5,23,0.45
台北市,25.01,121.55,0,0.2
台北市,25.01,121.55,1,0.2
台北市,25.01,121.55,2,0.2
台北市,25.01,121.55,3,0.2
台北市,25.01,121.55,4,0.2
台北市,25.01,121.55,5,0.2
台北市,25.01,121.55,6,0.45
台北市,25.01,121.55,7,0.85
台北市,25.01,121.55,8,0.85
台北市,25.01,121.55,9,0.85
台北市,25.01,121.55,10,0.45
台北市,25.01,121.55,11,0.45
台北市,25.01,121.55,12,0.6
台北市,25.01,121.55,13,0.6
台北市,25.01,121.55,14,0.45
台北市,25.01,121.55,15,0.45
台北市,25.01,121.55,16,0.45
台北市,25.01,121.55,17,0.85
台北市,25.01,121.55,18,0.85
台北市,25.01,121.55,19,0.45
台北市,25.01,121.55,20,0.45
台北市,25.01,121.55,21,0.45
台北市,25.01,121.55,22,0.45
台北市,25.01,121.55,23,0.45
